"Nome","Ingredienti","Prezzo"
"Rossa","Doppio Pomodoro San Marzano","3,00"
"Marinara","Doppio Pomodoro San Marzano, Aglio, Origano"," 3,50"
"Bianca","Mozzarella Fior di Latte","4,50"
"Margherita","Pomodoro San Marzano, Mozzarella Fior di latte","4,00"
"Napoli","Pomodoro San marzano,mozzarella fior di latte,filetti di alici e origano ","5,00"
"Salsiccia","Pomodoro San marzano, Mozzarella Fior di Latte, Salsiccia fresca","5,00"
"Carciofi","Pomodoro San Marzano, Mozzarella Fior di Latte, Carciofi al naturale","5,00"
"Olive","Pomodoro San Marzano, Mozzarella Fior di Latte, Olive Nere Denocciolate","5,00"
"Funghi","Pomodoro San Marzano, Mozzarella Fior di Latte, Funghi Freschi","5,00"
"Cipolla","Pomodoro San Marzano, Mozzarella Fior di Latte, Cipolla di Tropea","5,00"
"Prosciutto","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto","5,00"
"Wurstel","Pomodoro San Marzano, Mozzarella Fior di Latte, Wurstel","5,00"
"Salsiccia e Funghi","Pomodoro San Marzano, Mozzarella Fior di Latte, Salsiccia, Funghi","5,50"
"Sasiccia e Cipolla","Pomodoro San Marzano, Mozzarella Fior di Latte, Salsiccia, Cipolla tropea","5,50"
"Prosciutto e Funghi","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto, Funghi Freschi","5,50"
"Tonno","Pomodoro San Marzano, Mozzarella Fior di Latte , Tonno all'olio di oliva","5,50"
"Manu","Mozzarella fior di latte,Fiori di Zucca,Salsiccia fresca,Uovo e grana","8,00"
"Romana","Pomodoro San Marzano, Mozzarella Fior di Latte, Filetti di alici,Capperi, Organo","5,50"
"Pugliese","Doppio Pomodoro San Marzano,Cipolla di Tropea, Grana","5,00"
"Povera","Pomodorino Ciliegino, Aglio e Origano","5,00"
"Elisa","Pomodoro san Marzano,Mozzarella fior di latte,Salame piccante lucano,Patate al forno e Grana","8,00"
"Patati'","Pomodoro San Marzano, Mozzarella Fior di Latte, Patatine*","5,00"
"Siciliana","Pomodoro San Marzano, Mozzarella fior di Latte, Filetti di alici,Capperi,olive nere denocciolate e origano","6,00"
"Diavola","Pomodoro San Marzano, Mozzarella Fior di Latte, Salame Piccante Lucano","6,00"
"Capricciosa","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto, Carciofi, Funghi Freschi e Olive Nere Denocciolate","6,00"
"4 Stagioni","Pomodoro San Marzano, Mozzarella Fior di Latte, Prosciutto Cotto, Carciofi, Funghi Freschi e Salsiccia fresca","6,00"
"4 Gusti","Mozzarella fior di latte,Melanzane e Zucchineal forno,Funghi Porcini e Scaglie di grana","8,00"
"4 Formaggi","Pomodoro San Marzano, Mozzarella Fior di Latte, Formaggi Misti","6,00"
"Lorena","Pomodoro San Marzano, Mozzarella Fior di Latte, Wurstel, Salsiccia, Prosciutto Cotto, Salame Piccante Lucano","6,50"
"Carmen","Mozzarella Fior di Latte, Carciofi al naturale,Salmone affumicato e pepe","8,00"
"Nicole","Pasta di Pizza e Nutella","5,00"
"Pizza Kebab","Pomodoro San Marzano, Mozzarella Fior di Latte, Pomodorini Ciliegino, Cipolla di Tropea, Kebab","9,00"
"Gorgonzola","Pomodoro San Marzano, Mozzarella Fior di Latte, Gorgonzola","5,50"
"Patate","Pomodoro San Marzano, Mozzarella Fior di Latte, Patate al Forno","5,50"
"Nena","Mozzarella fior di latte,Fiori di succa e Filetti di Alici","8,00"
"Melanzane","Pomodoro San Marzano, Mozzarella Fior di Latte, Melanzane al Forno","5,50"
"Zucchine","Pomodoro San Marzano, Mozzarella Fior di Latte, Zucchine al Forno","5,50"
"Peperoni","Pomodoro San Marzano, Mozzarella Fior di Latte, Peperoni al Forno","5,50"
"Belga","Pomodoro San Marzano, Mozzarella Fior di Latte e Belga al Forno","5,50"
"Stracchino","Doppio Pomodoro San Marzano, Stracchino","5,50"
"Rucola","Pomodoro San Marzano, Mozzarella Fior di Latte, Rucola in Uscita","5,50"
"Spinaci","Pomodoro San Marzano, Mozzarella Fior di Latte, Spinaci*","5,50"
"Positano","Mozzarella Fior di Latte, friarielli (Cime di Rapa) Salsiccia, Grana","6,00"
"Bufala","Pomodoro San Marzano, Mozzarella di Bufala DOP Campana ","6,50"
"Krucca","Pomodoro San Marzano, Mozzarella Fior di Latte, Patate al forno e Wurstel","6,50"
"Tirolese","Pomodoro San Marzano, Mozzarella Fior di Latte, Speck e Rucola inUscita","6,50"
"Saracena","Pomodorini  Ciliegino, Mozzarella Fior di Latte, Origano","6,50"
"Porcini","Pomodoro San Marzano, Mozzarella Fior di Latte, Funghi freschi e Funghi Porcini","6,50"
"Tricolore","Mozzarella Fior di Latte, Peperoni, Rucoloa in uscita","6,50"
"Texana","Pomodoro San Marzano, Mozzarella Fior di Latte, Fagioli, Cipolla di Tropea","6,50"
"Fede","Doppio Pomodoro San Marzano, Aglio, Origano, Peperoni e Patate  al Forno","6,50"
